Player,Team,Age,Height,Weight,GP,MIN,STL,BLK,Deflections
AJ Hammons,DAL,24,84,260,22,163,1,13,5
Aaron Brooks,IND,32,72,161,65,894,25,9,50
Aaron Gordon,ORL,21,81,220,80,2298,65,40,113
Aaron Harrison,CHA,22,78,210,5,17,0,0,0
Adreian Payne,MIN,26,82,237,18,135,8,7,11
Al Horford,BOS,31,82,245,68,2193,52,86,98
Al Jefferson,IND,32,82,289,66,931,19,16,41
Al-Farouq Aminu,POR,26,81,220,61,1773,60,44,106
Alan Anderson,LAC,34,78,220,30,308,3,0,9
Alan Williams,PHX,24,80,260,47,708,27,32,45
Alec Burks,UTA,25,78,214,42,653,18,5,32
Alex Abrines,OKC,23,78,190,68,1055,37,8,60
Alex Len,PHX,24,85,260,77,1560,38,98,66
Alex Poythress,PHI,23,79,238,6,157,3,2,10
Alexis Ajinca,NOP,29,86,248,39,584,20,22,46
Allen Crabbe,POR,25,78,215,79,2254,54,20,112
Alonzo Gee,DEN,30,78,225,13,89,5,1,8
Amir Johnson,BOS,30,81,240,80,1608,51,62,105
Anderson Varejao,GSW,34,83,273,14,92,3,3,6
Andre Drummond,DET,23,83,279,81,2409,124,89,231
Andre Iguodala,GSW,33,78,215,76,1998,76,39,164
Andre Roberson,OKC,25,79,210,79,2376,94,79,196
Andrew Bogut,CLE,32,84,260,27,583,13,25,30
Andrew Harrison,MEM,22,78,213,72,1474,53,21,109
Andrew Nicholson,BKN,27,81,250,38,342,16,6,21
Andrew Wiggins,MIN,22,80,199,82,3048,82,30,137
Anthony Bennett,BKN,24,80,235,23,264,5,3,9
Anthony Brown,ORL,24,79,211,11,159,5,1,9
Anthony Davis,NOP,24,83,253,75,2708,94,167,177
Anthony Morrow,CHI,31,77,210,49,714,24,2,43
Anthony Tolliver,SAC,32,80,240,65,1477,34,20,71
Archie Goodwin,BKN,22,77,205,15,214,4,5,13
Arinze Onuaku,ORL,29,81,255,8,28,0,1,3
Aron Baynes,DET,30,82,260,75,1163,17,39,32
Arron Afflalo,SAC,31,77,210,61,1580,21,6,34
Austin Rivers,LAC,24,76,200,74,2054,48,10,110
Avery Bradley,BOS,26,74,180,55,1834,68,11,148
Axel Toupane,NOP,24,79,210,4,47,1,1,6
Ben Bentil,DAL,22,81,235,3,10,0,0,0
Ben McLemore,SAC,24,77,195,61,1176,29,6,77
Beno Udrih,DET,34,75,205,39,560,13,0,32
Bismack Biyombo,ORL,24,81,255,81,1793,25,91,53
Blake Griffin,LAC,28,82,251,61,2076,57,22,106
Boban Marjanovic,DET,28,87,290,35,293,6,12,12
Bobby Brown,HOU,32,74,175,25,123,1,0,2
Bobby Portis,CHI,22,83,246,64,1000,16,11,39
Bojan Bogdanovic,WAS,28,80,225,81,2083,34,7,68
Boris Diaw,UTA,35,80,250,73,1283,18,9,39
Bradley Beal,WAS,24,77,207,77,2684,83,21,192
Brandan Wright,MEM,29,82,210,28,447,11,20,24
Brandon Bass,LAC,32,80,250,52,577,14,11,30
Brandon Ingram,LAL,19,81,190,79,2279,50,36,94
Brandon Jennings,WAS,27,73,170,81,1801,70,4,153
Brandon Knight,PHX,25,75,195,54,1140,27,5,41
Brandon Rush,MIN,31,78,225,47,1030,22,23,42
Brian Roberts,CHA,31,73,173,41,416,9,1,26
Briante Weber,CHA,24,74,165,20,205,12,1,40
Brice Johnson,LAC,23,82,230,3,9,2,1,2
Brook Lopez,BKN,29,84,268,75,2222,38,124,82
Bruno Caboclo,TOR,21,81,205,9,40,2,1,3
Bryn Forbes,SAS,23,75,190,36,285,1,0,8
Buddy Hield,SAC,24,76,214,82,1888,38,9,90
C.J. Watson,ORL,33,74,175,62,1013,43,2,95
C.J. Wilcox,ORL,26,77,195,22,108,2,1,5
CJ McCollum,POR,25,75,190,80,2796,72,42,122
CJ Miles,IND,30,78,225,76,1776,46,25,88
Cameron Payne,CHI,22,75,185,31,462,14,4,28
Caris LeVert,BKN,22,79,203,57,1237,49,8,104
Carmelo Anthony,NYK,33,80,240,74,2538,60,34,131
Chandler Parsons,MEM,28,82,230,34,675,20,5,36
Channing Frye,CLE,34,83,255,74,1398,33,37,62
Cheick Diallo,NOP,20,81,220,17,199,4,7,9
Chinanu Onuaku,HOU,20,82,245,5,52,3,1,6
Chris Andersen,CLE,38,82,245,12,114,5,7,10
Chris McCullough,WAS,22,81,215,16,80,2,2,3
Chris Paul,LAC,32,72,175,61,1921,119,8,214
Christian Wood,CHA,21,83,220,13,107,3,6,7
Clint Capela,HOU,23,82,240,65,1551,34,79,59
Cody Zeller,CHA,24,84,240,62,1725,62,58,126
Cole Aldrich,MIN,28,83,250,62,531,25,23,63
Corey Brewer,LAL,31,81,186,82,1281,61,20,134
Cory Joseph,TOR,25,75,190,80,2003,66,13,115
Courtney Lee,NYK,31,77,200,77,2459,81,24,157
Cristiano Felicio,CHI,24,81,266,66,1040,25,17,38
D'Angelo Russell,LAL,21,77,195,63,1811,87,16,164
D.J. Augustin,ORL,29,72,183,78,1538,31,1,57
Dahntay Jones,CLE,36,78,225,1,12,0,0,1
Damian Jones,GSW,22,84,245,10,85,1,4,5
Damian Lillard,POR,26,75,195,75,2693,68,20,155
Damjan Rudez,ORL,31,82,228,45,314,12,1,16
Daniel Ochefu,WAS,23,83,245,19,75,2,0,6
Danilo Gallinari,DEN,28,82,225,63,2134,40,15,72
Danny Green,SAS,30,78,215,68,1807,70,57,179
Dante Cunningham,NOP,30,80,230,66,1649,39,28,81
Dante Exum,UTA,21,78,190,66,1228,21,12,52
Danuel House Jr.,WAS,24,79,215,1,1,0,0,0
Dario Saric,PHI,23,82,223,81,2129,57,30,92
Darrell Arthur,DEN,29,81,235,41,639,19,21,54
Darren Collison,SAC,29,72,175,68,2063,67,9,138
Darrun Hilliard,DET,24,78,205,39,381,11,2,20
David Lee,SAS,34,81,245,79,1477,31,40,58
David Nwaba,LAL,24,76,209,20,397,13,7,27
David West,GSW,36,81,250,68,854,42,48,88
Davis Bertans,SAS,24,82,210,67,808,20,28,37
DeAndre Jordan,LAC,28,83,265,81,2570,51,134,96
DeAndre Liggins,DAL,29,78,209,62,777,47,14,98
DeAndre' Bembry,ATL,22,78,210,38,371,8,5,25
