Player,Team,Age,Height,Weight,GP,MIN,STL,BLK,Deflections,ChargesDrawn,Fouls Committed Shoot,Fouls Drawn Off.
Aaron Gordon,ORL,24,80,235,62,2017,51,39,63,1,55,7
Aaron Holiday,IND,23,72,185,66,1617,55,16,111,3,56,29
Abdel Nader,OKC,26,77,225,55,867,23,20,54,0,39,2
Adam Mokoka,CHI,21,77,190,11,112,4,0,10,0,4,0
Admiral Schofield,WAS,23,77,241,33,368,8,4,15,1,25,4
Al Horford,PHI,34,81,240,67,2026,52,61,102,0,88,0
Al-Farouq Aminu,ORL,29,80,220,18,380,18,8,36,1,13,3
Alec Burks,PHI,28,78,214,66,1754,62,17,108,3,48,18
Alen Smailagic,GSW,19,82,215,14,139,3,4,6,2,5,2
Alex Caruso,LAL,26,77,186,64,1175,70,18,131,10,37,26
Alex Len,SAC,27,84,250,55,971,23,48,41,0,76,1
Alfonzo McKinnie,CLE,27,79,215,40,593,23,8,44,2,29,4
Alize Johnson,IND,24,79,212,17,118,3,2,4,0,6,0
Allen Crabbe,MIN,28,77,212,37,653,15,4,42,1,29,2
Allonzo Trier,NYK,24,76,200,24,291,3,4,7,0,10,2
Amile Jefferson,ORL,27,81,222,18,74,1,3,2,0,3,0
Amir Coffey,LAC,23,79,210,18,159,5,2,5,0,12,0
Andre Drummond,CLE,26,82,279,57,1878,109,93,201,1,83,7
Andre Iguodala,MIA,36,78,215,21,418,14,21,29,0,21,4
Andre Roberson,OKC,28,79,210,7,87,1,3,8,0,7,2
Andrew Wiggins,GSW,25,79,197,54,1859,45,53,74,1,84,3
Anfernee Simons,POR,21,75,181,70,1449,26,10,38,1,61,6
Ante Zizic,CLE,23,82,266,22,221,7,5,9,0,13,0
Anthony Davis,LAL,27,82,253,62,2131,91,143,170,13,99,16
Anthony Tolliver,MEM,35,80,240,55,872,19,11,21,8,34,9
Antonius Cleveland,DAL,26,77,195,11,46,1,3,2,0,6,0
Anzejs Pasecniks,WAS,24,86,229,27,437,9,12,17,5,35,11
Aron Baynes,PHX,33,82,260,42,934,10,23,22,16,71,21
Austin Rivers,HOU,27,75,200,68,1594,49,10,94,3,71,18
Avery Bradley,LAL,29,75,180,49,1186,43,5,78,2,41,7
B.J. Johnson,ORL,24,79,200,10,83,3,0,2,0,2,1
Bam Adebayo,MIA,22,81,255,72,2417,82,93,179,1,99,7
Ben McLemore,HOU,27,75,195,71,1619,45,16,80,3,79,8
Ben Simmons,PHI,23,82,240,57,2017,119,33,222,4,55,25
Bismack Biyombo,CHA,27,80,255,53,1029,10,49,53,0,51,3
Blake Griffin,DET,31,81,250,18,512,7,7,17,7,18,10
Boban Marjanovic,DAL,31,88,290,44,422,8,10,9,1,23,1
Bobby Portis,NYK,25,82,250,66,1394,32,18,52,1,51,4
Bogdan Bogdanovic,SAC,27,78,220,61,1766,64,15,126,0,49,15
Bojan Bogdanovic,UTA,31,80,226,63,2083,34,7,57,3,38,9
Bol Bol,DEN,20,86,220,7,87,2,6,5,0,8,0
Brad Wanamaker,BOS,30,75,210,71,1369,61,14,138,2,55,5
Bradley Beal,WAS,27,75,207,57,2053,71,23,111,13,52,20
